2263.2
7233.8
8131.15
1223.2.1.1
7318.6
1439.7
7126.12
1420.4.4
5223.7.21
3343.1
1211.1.1
2422.14
3311.3.2
1120.5
7536.2.1
2511.17
1213.5.1
3422.4.2
3112.1.5.1
7214.3.1
3422.4.1
2250.4
8322.2
1420.4.40
6221.11
3141.1
7231.4
7126.13
2113.1.4
5223.7.6
3112.1.13
8212.3.6
2521.5
7311.2
8131.2.4
8156.2.1
3122.4.14
2635.3.7
3123.1.25
8131.6
2635.3.10
2654.1.8
3312.2
9214.2
2113.1.2
8154.1
8332.5
8342.9
7319.2
1221.3.2.1.4
7223.4.8
8332.1
1112.3
7541.2
2412.4
4131.1
8131.2.2
7233.14
2619.5
8332.8
8219.6
4323.16
4212.2
6222.1
2529.1
7543.10.3
2165.4.2
3123.1.13
3315.3
8153.1.5
1431.1.2
3344.1
1219.5.2
7511.4
2632.4
3119.16.6
7516.1
2149.7
1431.2.5
3435.4
2310.1.14
5223.2
5164.1
7115.2
3423.3
2330.1.9
3114.1.6
3112.1
2519.4
8151.2.2
2352.1.3
5113.1.1
2632.6
2432.6.1
5223.7.8
1345.1.9
3322.1
3252.1
6121.3
1221.3.2.1.3
2144.1.23
8156.2.4
2131.4.4
3111.12
2413.1.3
5142.7
3132.7
3332.2
3257.6
3132.2
2142.1.4
2144.1.6
7535.2
7421.4
2659.2.2
2263.3.1
3339.5
8343.4
8160.7
3123.1.18
2355.3
5164.2
2151.1.2
2423.4
8172.5.4
8312.5
3435.13
7543.7.4
3423.1
3112.6
8331.1
1324.3.2.22
3412.2
7223.8
2352.1.6
1321.2.1.8
2341.1
3115.1.7
5223.7.16
2120.1
1112.6
2653.2
7322.2
7126.14
2635.3.27.1
2656.3
5311.1.4
2250.4.2
0110.9
3521.1.10
8157.1
2519.7
1322.1
2133.7
7311.1
3512.2
7222.2
7131.1
7421.7
3324.4.18
7223.4.1
3123.1.15
1420.4.17
2422.16
8211.3
2310.1.28
7543.7.3
1431.2.6
5312.4
3412.6
9216.3
7544.1
7223.13
3521.1.9
1324.3.1.6.13
8141.1.7
2412.6.1
1349.16
3240.2.4
9629.4
1321.2.1.6.2
5223.7.11
2642.1.13
2422.12.14
7543.2
3422.4.3
3323.2
3343.3
3123.1.19
8113.4
3324.1
3141.2.4
3435.3
5419.9
1324.3.1.6.19
7222.1
3118.3.10
7311.3
5164.6
1345.1.2
3114.1.4
8183.5
2511.6
3353.1
8159.4
1420.4.43
3123.1.6
1324.3.4
7212.3.3
7543.8.1
8131.5
2512.1
3332.3
8111.2
7543.9.2
9211.1
3359.6
2320.1.13
5223.7.28
3331.2.1.14
9331.1
3331.2.1.16
3311.3.5
7523.5
3154.1
7126.1
8156.3
2422.7
8342.4
3333.1
8172.5.2
9621.1
1211.1.3
2356.1.1
4229.1
2320.1.16
2431.10.3
3431.2
2120.4
3321.3.1
4323.6
1349.13
8171.5
2635.3.26
2641.1
8111.5
2144.1.2
3423.1.2.1
5249.2.1.7
3432.4.1
9612.1
2269.7
8122.9
7322.6
8142.7
3435.25.4
2422.12.6
1324.3.1.6.8
7231.3
8121.1
7543.6
0110.11
5164.2.1.1
7512.4
3114.1.8
3153.4
2659.2.3
2112.1.1
7532.5
8131.19.1
8160.15
7543.9.1
5249.2.2
3122.4.8
2433.6.1
5223.7.4
2514.2.2
2141.4.2.2
8114.1
5419.7
9112.2
2310.1.13
2654.1.1
1211.1
3141.2.3
5161.3
3112.1.4
7322.7
3413.1
3331.2.1.22
3116.1
7422.4
7512.2
3354.2
7316.2
7543.1
3324.4
3119.17
2310.1.43
2163.1.6
8157.1.1
3311.2.2
1349.10
2131.4.13
5223.7.10
3112.4
3343.5
7513.1
3257.5.1
3115.1.4
7521.1
1321.2.1.7
7126.2
9312.1
3324.4.28
7421.1
1431.2.4
2433.6.3
8156.2.6
5164.2.1.2
2149.10.1
2131.8
1420.3
3222.1
1321.2.1.6
4321.1.2
3331.2.1.2
2143.1.1
8160.52
3252.3
5413.2
3151.1
5311.1
